gene	process	TCGA-BH-A0B3	TCGA-BH-A0BM	TCGA-BH-A0E0	TCGA-BH-A0HK
ATP5J	Electron transport chain	0.5867	0.6434	0.1049	0.6885
ATP5L	Electron transport chain	1.2064	0.4178	-0.2647	-0.0221
ATP5O	Electron transport chain	0.4018	0.5056	-0.1801	0.6130
ATPAF1	Electron transport chain	0.2987	1.1064	0.2828	0.7135
ATPAF2	Electron transport chain	1.1916	0.0561	-0.7152	-0.3723
ATPIF1	Electron transport chain	0.7632	1.4881	0.4307	0.8889
BAD	Apoptosis	0.7823	0.9130	0.2043	0.7434
BAK1	Apoptosis	1.5727	0.1790	0.6886	0.3981
BAX	Apoptosis	1.5779	0.4798	1.5220	0.0581
BBC3	Apoptosis	0.4846	0.7439	1.1767	0.1678
BCKDHA	ROS defense	-0.3750	-0.0703	0.7071	-0.0880
BCKDHB	ROS defense	-0.8925	-0.9174	0.3593	0.4352
BCL2	Apoptosis	-3.8184	-0.0557	-2.0753	0.4784
BCL2L1	Apoptosis	0.2954	0.4255	-0.0134	0.0634
BCL2L11	Apoptosis	-0.0912	-0.2567	-1.5122	0.8974
BCS1L	Electron transport chain	-0.3355	-0.0703	0.0473	-0.0029
BECN1	Mitochondrial Dynamics	-0.4050	-0.0450	-1.6468	0.6577
BID	Apoptosis	0.4311	-0.2655	-1.1599	0.5626
BIK	Apoptosis	-1.8137	2.6329	-3.7469	1.4125
BNIP3	Mitochondrial Dynamics	1.3647	0.8763	2.2642	-0.5386
BNIP3L	Mitochondrial Dynamics	-0.0532	0.3537	0.5000	-0.1731
BOLA3	Fe-S cluster biosynthesis	2.0727	0.7572	1.2792	1.0770
BRP44	Pyruvate transfer	1.4729	0.4471	0.1500	1.4817
BRP44L	Pyruvate transfer	0.2028	0.0429	0.2929	0.1280
C10orf2	Replication & Transcription	0.1747	-0.5458	0.7155	-0.0319
C1orf31	Electron transport chain	1.3392	1.7843	0.0781	2.2999
C20orf7	Electron transport chain	0.2607	-0.2357	0.5296	0.2579
C22orf32	Calcium trafficking	-0.8570	0.5661	-1.0607	-0.1346
C2orf56	Electron transport chain	0.3731	-0.1652	0.5869	0.1174
C7orf44	Electron transport chain	0.4430	-0.1705	0.0493	0.7153
C8orf38	Electron transport chain	0.9636	0.6166	0.5619	0.3835
CARS2	Translation	1.0669	0.4240	0.9077	0.6695
CASP3	Apoptosis	1.1469	0.1270	-0.0574	0.6883
CASP7	Apoptosis	0.5839	-0.1976	-0.8019	0.2076
CASP9	Apoptosis	-0.1680	0.2660	-0.2488	0.2012
CCDC109B	Calcium trafficking	2.1723	1.5525	1.5467	0.3123
CCDC56	Electron transport chain	-0.2334	0.6966	-0.7586	0.7036
CCDC90A	Calcium trafficking	0.9627	0.1958	1.0773	0.8724
CD36	Fatty acid beta-oxidation	-5.2020	0.5921	-3.0680	1.2651
CDK1	Apoptosis	4.4429	-0.2633	3.3073	3.3592
CDK5RAP1	Replication & Transcription	0.2611	0.3364	0.4691	-0.0827
CDKAL1	Replication & Transcription	0.9745	-0.8945	0.1914	0.1807
CDS1	Cardiolipin biosynthesis	0.4050	0.9338	0.5704	0.1146
CHCHD4	Import & Sorting	0.4089	0.5240	-0.2995	0.1966
CHCHD8	Electron transport chain	0.9599	1.1577	0.4898	0.5516
CIAO1	Fe-S cluster biosynthesis	0.2764	0.1960	-0.5087	0.6168
CIAPIN1	Fe-S cluster biosynthesis	1.1310	-0.5631	0.0328	-0.3514
CLPP	Translation	0.8301	0.9143	0.1596	0.1995
CLPX	Translation	0.1940	-0.6651	0.4138	-0.0397
CMPK2	Replication & Transcription	0.4337	-0.0292	-0.8150	0.9666
COA5	Electron transport chain	-0.5053	0.5634	-1.2281	0.6849
COX10	Electron transport chain	1.3363	-0.3848	0.1722	-0.7160
COX11	Electron transport chain	0.1799	0.1128	-0.1959	0.1379
COX14	Electron transport chain	-0.0866	0.6678	-0.1925	0.2531
COX15	Electron transport chain	-0.2874	0.0284	0.2356	0.1436
COX17	Electron transport chain	1.0161	1.4770	0.8102	0.1660
COX18	Electron transport chain	-0.6337	0.6591	-0.9124	0.2484
COX19	Electron transport chain	-0.0838	-0.6208	1.1502	0.5743
COX20	Electron transport chain	1.2102	0.6130	-0.0241	0.8417
COX4I1	Electron transport chain	0.3959	0.1105	-0.4416	-0.0259
COX4I2	Electron transport chain	-0.6487	0.4391	-0.7195	0.5149
COX5A	Electron transport chain	1.3646	0.7671	1.0222	1.0867
COX5B	Electron transport chain	1.0616	1.1435	-0.1111	0.8529
COX6A1	Electron transport chain	1.5252	1.4092	-0.2235	1.0622
COX6B1	Electron transport chain	1.8546	0.9292	0.7280	1.4057
COX6B2	Electron transport chain	-1.2905	-2.6664	0	-1.5591
COX6C	Electron transport chain	1.6003	2.4907	-0.3196	0.0854
COX7A1	Electron transport chain	-0.3079	0.6875	-2.9057	-0.0015
COX7A2	Electron transport chain	1.0146	0.3646	0.2691	0.9070
COX7B	Electron transport chain	1.2925	0.9133	0.8425	1.2221
COX7C	Electron transport chain	0.0486	0.6985	0.1952	1.0163
COX8A	Electron transport chain	1.4169	0.8622	1.1040	1.2674
CPOX	Heme Biosynthesis	-0.6296	-0.5759	0.8087	0.6702
CPS1	Urea Cycle	-2.1043	-1.8510	-3.6497	-1.8017
CPT1A	Fatty acid beta-oxidation	-0.9439	0.2776	-0.8956	0.5722
CPT1C	Fatty acid beta-oxidation	0.8399	-0.6864	1.0911	-0.3534
CPT2	Fatty acid beta-oxidation	0.7138	-0.0606	0.6113	0.8072
CRAT	Fatty acid beta-oxidation	-0.0243	1.3659	2.7201	2.5232
CREB1	Replication & Transcription	-0.9476	-0.3586	-0.6946	0.1185
CRLS1	Cardiolipin biosynthesis	0.0873	0.3586	-0.0519	0.1600
CS	Tricarboxylic acid cycle	0.3237	-0.2731	-0.3238	0.9357
CYC1	Electron transport chain	1.7007	0.8639	1.0390	0.7811
CYCS	Apoptosis	0.9289	0.6322	1.6474	0.9074
DAP3	Translation	2.2109	0.7548	1.9207	1.8738
DARS2	Translation	1.8373	0.8841	2.6092	1.6946
DDX28	Translation	0.3510	-0.5239	0.3713	-0.8456
DECR1	Fatty acid beta-oxidation	0.4625	0.4395	0.6397	0.4401
DHX30	Translation	0.1872	-0.2501	-0.0615	0.1764
DIABLO	Apoptosis	0.7301	0.3784	-0.0006	0.2262
DLAT	Formation of Acetyl CoA	0.7056	0.0046	2.0871	-0.2746
DLD	Tricarboxylic acid cycle	0.3240	-0.1067	0.4277	0.0488
DLST	Tricarboxylic acid cycle	-0.0047	-0.4142	-0.5401	-0.2118
DNAJC19	Import & Sorting	0.4065	1.7799	0.0724	0.9051
DNM1	Apoptosis	0.1296	1.3888	-0.3732	-1.3759
DNM1L	Mitochondrial Dynamics	0.0997	-0.0225	1.0273	0.4082
DUS2L	Replication & Transcription	0.7313	-0.4288	0.0162	-0.2282
DYNLL1	Mitochondrial Dynamics	1.4788	0.7127	0.2184	0.5814
EARS2	Translation	0.2868	-0.0133	-0.4324	0.6495
ECHS1	Fatty acid beta-oxidation	0.1164	0.6421	0.2486	1.4071
EFHA1	Calcium trafficking	0.1252	0.2985	-0.8675	0.6527
EFHA2	Calcium trafficking	-2.6532	-0.9016	-2.6788	-1.1111
EIF3M	Apoptosis	0.4677	-0.0831	0.0594	1.0935
ELAC2	Replication & Transcription	1.1280	-0.5997	-0.3774	-0.6048
ENDOG	Replication & Transcription	1.1592	1.3023	0.6760	-0.4442
ENO1	Glycolysis	2.2254	-0.3308	0.4013	0.0930
ENO2	Glycolysis	1.7778	-0.7293	-1.3673	-0.4468
ENO3	Glycolysis	-0.8204	0.6759	-1.2255	0.8488
FABP3	Fatty acid beta-oxidation	1.2832	-0.2268	3.0589	-1.0024
FABP4	Fatty acid beta-oxidation	-4.6391	0.5228	-9.3830	0.9701
FABP5	Fatty acid beta-oxidation	1.3726	0.5323	2.0137	0.9232
FABP6	Fatty acid beta-oxidation	0	0	2.3471	0
FABP7	Fatty acid beta-oxidation	-1.6742	-3.1921	-4.3717	0
FAM96A	Fe-S cluster biosynthesis	1.0794	0.7583	-0.3683	1.5861
FAM96B	Fe-S cluster biosynthesis	0.9711	0.0778	0.4103	-0.1204
FARS2	Translation	0.5694	-0.1863	-0.3569	-0.0074
FDX1	Fe-S cluster biosynthesis	0.6902	0.7417	1.1890	-0.6148
FDX1L	Fe-S cluster biosynthesis	0.7624	0.7632	0.0936	0.4248
FDXR	Fe-S cluster biosynthesis	0.1499	0.6564	1.5458	0.6310
FECH	Heme Biosynthesis	0.4785	-0.4700	0.7328	-0.7652
FH	Tricarboxylic acid cycle	1.9540	0.6050	0.5126	1.2591
FIS1	Mitochondrial Dynamics	0.1491	0.3137	-0.2656	0.1407
FOXRED1	Electron transport chain	0.0012	0.3029	-0.2958	0.1276
FTMT	Fe-S cluster biosynthesis	0	-4.0569	0	0
FXN	Fe-S cluster biosynthesis	0.8430	0.2569	0.7975	0.1173
GABARAP	Mitochondrial Dynamics	0.1643	-0.0616	-0.3237	-0.4381
GAPDH	Glycolysis	2.5258	0.1462	0.9843	1.2199
GARS	Translation	2.4152	-0.0098	1.5100	0.3427
GATC	Translation	-0.4035	0.0359	0.5001	0.2490
GCLC	ROS defense	-0.2854	-0.5270	-0.4484	0.8970
GCLM	ROS defense	1.6850	-1.4569	1.0036	0.6068
GDAP1	Mitochondrial Dynamics	-0.4803	-0.9880	-0.6012	-0.1535
GFER	Fe-S cluster biosynthesis	0.9302	1.1573	-0.0322	-0.0278
GFER	Import & Sorting	0.9302	1.1573	-0.0322	-0.0278
GFM1	Translation	0.7784	0.5525	-0.5222	0.7655
GFM2	Translation	-0.6541	0.1234	0.5172	0.5597
GLRX2	ROS defense	1.5353	1.8857	2.5508	1.2826
GLRX5	Fe-S cluster biosynthesis	0.8959	0.5480	-0.1296	0.2608
GOT2	Fatty acid beta-oxidation	0.1371	-0.1277	-0.9336	-0.0533
GPI	Glycolysis	2.4019	1.2615	1.1332	1.3951
GPX1	ROS defense	1.1548	0.5344	-1.4851	0.6259
GPX4	ROS defense	-0.0283	0.8738	0.6600	0.5199
GRPEL1	Import & Sorting	0.6049	0.3045	0.5834	0.2934
GRPEL2	Import & Sorting	-0.2271	0.1341	0.4052	0.6977
GSR	ROS defense	0.0235	1.7134	-1.0869	1.8845
GSS	ROS defense	0.6257	0.1336	0.2799	-0.0285
GSTA1	ROS defense	-1.7444	-2.5310	-7.9130	0.8576
GSTA4	ROS defense	0.7640	-0.4166	-1.3500	0.0987
GSTP1	ROS defense	0.6181	0.4259	0.2286	1.3897
GTPBP3	Replication & Transcription	0.1882	0.1652	-0.1304	1.0372
HADH	Fatty acid beta-oxidation	-0.4172	-0.1934	-0.3791	-0.0817
HADHA	Fatty acid beta-oxidation	0.8794	-0.5797	0.5137	0.2818
HADHB	Fatty acid beta-oxidation	0.3973	0.0744	1.0942	0.3805
HARS2	Translation	0.3532	-0.3732	0.0774	0.2701
HCCS	Electron transport chain	1.8118	-0.4255	0.5067	0.8027
HK1	Glycolysis	0.9414	0.1406	-0.7233	-0.2091
HK2	Glycolysis	0.3370	1.9667	0.7722	2.4305
HK3	Glycolysis	2.9392	0	0	-0.8709
HMBS	Heme Biosynthesis	1.9613	0.6476	-0.0934	-0.4234
HSCB	Fe-S cluster biosynthesis	-0.5225	0.1649	-1.3582	0.7963
HSD17B10	Replication & Transcription	1.3495	0.7432	0.4244	0.0300
HSPA9	Import & Sorting	0.0486	0.0338	0.4209	0.5101
HTRA2	Apoptosis	0.2983	0.4109	0.4743	-0.3149
IARS2	Translation	1.4043	0.0585	0.2207	1.3895
IBA57	Fe-S cluster biosynthesis	0.5801	-0.4159	0.0237	-0.0023
IDH1	Tricarboxylic acid cycle	0.0749	0.6948	1.7693	1.8202
IDH2	Tricarboxylic acid cycle	2.6825	1.3080	2.8597	-0.9988
IDH3A	Tricarboxylic acid cycle	0.5760	-0.0793	1.0817	0.3732
IDH3B	Tricarboxylic acid cycle	-0.1413	-0.4187	0.4330	-0.1613
IDH3G	Tricarboxylic acid cycle	0.8417	-0.0001	0.2269	0.1471
IMMP1L	Import & Sorting	0.3090	0.3519	-0.7157	0.3887
IMMP2L	Import & Sorting	-0.4466	-0.6083	-1.2320	0.3605
ISCA1	Fe-S cluster biosynthesis	-0.5211	-0.1640	-1.0512	0.1302
ISCA2	Fe-S cluster biosynthesis	0.3236	0.4328	-0.6291	0.4187
ISCU	Fe-S cluster biosynthesis	-0.6340	0.1787	-0.8980	-0.1056
ITPR1	Calcium trafficking	-3.4423	-0.9458	-4.3221	-0.5163
ITPR2	Calcium trafficking	-2.7429	-0.2753	-1.6424	0.3559
ITPR3	Calcium trafficking	1.7020	-0.0427	-2.7227	0.2399
KARS	Translation	0.7992	-0.4782	-0.2169	-0.2056
KIAA0391	Replication & Transcription	0.4414	0.3679	-0.2139	0.5182
KIF1B	Mitochondrial Dynamics	0.0152	-1.2294	1.5056	-0.7993
KIF5B	Mitochondrial Dynamics	-0.3876	0.0069	-0.0152	0.0492
LARS2	Translation	0.0768	-0.0810	-0.3303	0.6950
LDHA	Glycolysis	2.1985	1.1896	-0.4687	0.3981
LDHB	Glycolysis	0.1688	-1.4307	-0.5045	-0.8816
LDHC	Glycolysis	0	0	0	1.4796
LETM1	Calcium trafficking	0.8898	0.3472	0.8636	0.4474
LIG3	Replication & Transcription	0.2923	0.0640	0.7949	0.6125
LONP1	Translation	0.7618	0.0119	0.7591	-0.0429
LRPPRC	Translation	0.2461	-0.2501	1.4175	0.7433
LYRM4	Fe-S cluster biosynthesis	1.2031	-0.1587	-1.1188	0.9058
MAP1LC3A	Mitochondrial Dynamics	0.2066	0.3688	1.8195	-0.9241
MAPK1	Apoptosis	0.3190	-0.6641	-0.4616	-0.1190
MAPK3	Apoptosis	-0.0411	0.5286	-0.1037	0.9847
MARCH5	Mitochondrial Dynamics	-0.6829	-0.1325	0.2708	-0.0789
MARS2	Translation	0.5058	-0.1304	0.0781	0.4986
MCL1	Apoptosis	1.4584	0.2145	0.4200	-0.8532
MCU	Calcium trafficking	0.6440	0.4106	-0.5249	0.3208
MDH2	Tricarboxylic acid cycle	1.1687	0.3646	0.9373	0.8231
MFF	Mitochondrial Dynamics	0.1223	-0.0637	-0.4316	0.1009
MFN1	Mitochondrial Dynamics	0.4326	-0.1804	0.2830	-0.4176
MFN2	Mitochondrial Dynamics	0.9003	-0.0277	0.7959	-0.1334
MICU1	Calcium trafficking	0.2321	0.4190	0.0170	0.0213
MIPEP	Import & Sorting	0.0223	0.2503	-1.5199	-0.6100
MMS19	Fe-S cluster biosynthesis	0.1432	-0.4890	0.0649	0.1054
MNF1	Electron transport chain	1.8732	1.5014	0.2421	0.4576
MPV17	ROS defense	0.9029	0.7991	-0.1803	-0.0433
MPV17L	ROS defense	-1.9628	-0.4356	-2.4617	1.3934
MPV17L2	Translation	0.9426	1.3053	-0.2019	0.4953
MRPL1	Translation	0.6379	-0.1407	0.1563	0.2557
MRPL10	Translation	-0.0153	-0.0932	-1.2834	0.6370
MRPL11	Translation	1.0993	0.1753	0.2451	0.6578
MRPL12	Translation	2.1363	0.5853	0.6955	0.8566
MRPL13	Translation	2.1342	0.7601	0.6055	0.8565
MRPL14	Translation	2.1803	0.8870	0.8823	0.0322
MRPL15	Translation	2.2631	0.5588	0.9458	0.8948
MRPL16	Translation	0.6986	0.6528	0.3732	0.2522
MRPL17	Translation	1.3602	0.7346	0.5904	0.5582
MRPL18	Translation	0.7365	0.1176	0.3986	0.7929
MRPL19	Translation	0.7411	0.5215	1.0890	0.7303
MRPL2	Translation	1.3436	0.0774	0.4866	0.0387
MRPL20	Translation	0.3201	0.9189	0.8140	0.3740
MRPL21	Translation	0.7615	0.9267	0.1497	1.0579
MRPL22	Translation	0.3560	0.0735	-0.0608	-0.0720
MRPL23	Translation	1.5024	1.3734	0.4220	0.9489
MRPL24	Translation	1.7456	1.8813	1.5379	2.0155
MRPL27	Translation	0.8186	0.9075	-0.2288	0.0992
MRPL28	Translation	1.3538	0.4138	-0.2168	-0.0289
MRPL3	Translation	0.8560	0.4177	0.2396	1.0096
MRPL30	Translation	0.0531	0.0886	-0.1263	0.8231
MRPL32	Translation	0.4043	0.7832	-0.2436	0.5306
MRPL33	Translation	1.4326	0.0975	-0.0854	0.2349
MRPL34	Translation	0.3364	0.8492	-1.0047	0.8496
MRPL35	Translation	0.3901	0.4412	0.0805	0.7613
MRPL36	Translation	1.8854	0.5906	-0.2965	0.1255
MRPL37	Translation	1.7677	-0.0894	0.8912	0.7319
MRPL38	Translation	0.9374	0.4865	0.0858	0.3086
MRPL39	Translation	0.8124	0.1507	0.5190	0.0085
MRPL4	Translation	0.9221	0.2449	0.4742	0.5246
MRPL40	Translation	0.0154	1.2816	-0.9200	0.5089
MRPL41	Translation	0.2108	2.6148	1.0762	0.6601
MRPL42	Translation	0.7116	0.1660	-0.4361	1.0706
MRPL43	Translation	0.0211	0.7557	0.7272	0.4334
MRPL44	Translation	0.3587	0.1393	-0.5201	0.7776
MRPL45	Translation	0.0850	-0.4934	-0.8752	0.6454
MRPL46	Translation	0.0797	-0.7556	-0.3590	0.1562
MRPL47	Translation	1.9083	0.6648	0.8437	0.1897
MRPL48	Translation	1.3215	0.1446	-0.0274	0.2467
MRPL49	Translation	0.4000	-0.0316	0.1646	0.3710
MRPL50	Translation	0.2377	-0.0417	-0.8981	0.5924
MRPL51	Translation	1.4124	0.5069	0.4298	0.5135
MRPL52	Translation	0.6709	0.5512	-0.5014	-0.4128
MRPL54	Translation	-0.0965	0.9111	-1.5531	-0.1985
MRPL55	Translation	1.5819	1.3320	1.1038	0.8745
MRPL9	Translation	2.0712	0.2149	1.3987	1.3565
MRPS10	Translation	1.4891	0.0425	0.3835	0.2560
MRPS11	Translation	0.8078	0.3862	-0.2665	0.4057
MRPS12	Translation	2.2966	0.6721	1.1785	0.8921
MRPS14	Translation	-0.1932	0.2826	1.2358	1.0881
MRPS15	Translation	0.9249	1.1945	0.5894	0.9732
MRPS16	Translation	0.5672	0.4173	0.8329	0.4944
MRPS17	Translation	1.3518	0.6835	1.2877	0.6308
MRPS18A	Translation	0.8324	0.0980	0.0282	0.0177
MRPS18B	Translation	0.5638	0.0993	-0.7680	-0.0033
MRPS18C	Translation	0.1226	-0.3036	-0.9348	-1.2061
MRPS2	Translation	0.3919	0.0271	0.3658	0.2606
MRPS21	Translation	1.9627	1.0198	1.2592	-0.4957
MRPS22	Translation	1.2359	-0.0140	-0.1214	-0.1362
MRPS23	Translation	1.2590	0.0676	-0.5964	0.3645
MRPS25	Translation	-0.5934	0.1459	0.0012	0.1186
MRPS26	Translation	0.4414	0.8742	1.1946	0.3245
MRPS27	Translation	-0.4099	-0.3712	-1.3029	0.8074
MRPS28	Translation	0.6252	-0.0430	-0.5305	0.1723
MRPS30	Translation	-0.6938	0.1850	0.0143	-0.3413
MRPS31	Translation	0.0034	0.1069	-0.1492	-0.3433
MRPS33	Translation	0.3663	0.4331	1.0075	0.9218
MRPS34	Translation	1.3629	1.3006	0.9705	0.8870
MRPS35	Translation	0.4912	0.2120	0.4843	0.8263
MRPS36	Translation	-0.1151	0.5335	-0.9755	-0.0600
MRPS5	Translation	1.5136	0.1701	0.2519	0.4373
MRPS7	Translation	0.9020	0.2050	-0.4436	0.3533
MRPS9	Translation	0.9697	-0.3438	-0.2854	0.3122
MRRF	Translation	0.1069	0.5444	-0.2888	1.0587
MSTO1	Mitochondrial Dynamics	1.1220	0.4789	2.3621	-0.2299
MTFMT	Translation	0.7138	-0.5751	-0.3421	-0.0032
MTFP1	Mitochondrial Dynamics	1.3632	0.6313	0.0564	0.3440
MTIF2	Translation	0.3160	0.3436	0.5075	0.6398
MTIF3	Translation	-0.1860	0.6486	-0.5256	0.8154
MTO1	Replication & Transcription	0.1170	-0.3936	0.1144	0.6525
MTPAP	Replication & Transcription	-0.0794	-0.1176	0.6979	0.2713
MTRF1	Translation	-0.6227	-0.0662	-0.1838	0.5881
MTRF1L	Translation	0.0215	-0.3389	-0.2135	-0.0204
MUTYH	Replication & Transcription	0.7639	-0.3159	0.7148	0.2256
NARF	Fe-S cluster biosynthesis	1.4650	-0.0294	0.8646	-0.6089
NARS2	Translation	0.2859	0.2278	1.1924	0.1459
NDUFA1	Electron transport chain	1.0910	1.2919	0.5221	0.8992
NDUFA10	Electron transport chain	-0.2990	-0.2544	-0.5425	0.2317
NDUFA11	Electron transport chain	1.0096	0.3954	-0.2371	0.1477
NDUFA12	Electron transport chain	1.1359	0.6548	-0.3715	0.7040
NDUFA13	Electron transport chain	0.9322	1.1713	-0.2160	0.5320
NDUFA2	Electron transport chain	0.0955	1.2877	0.5154	0.1975
NDUFA3	Electron transport chain	1.9002	1.2954	1.4525	1.6984
NDUFA4	Electron transport chain	0.7711	0.2269	0.2404	-0.2436
NDUFA5	Electron transport chain	-0.6019	0.3974	-0.0588	0.4897
NDUFA6	Electron transport chain	0.7745	1.0174	-0.3240	0.4175
NDUFA7	Electron transport chain	0.7187	1.4351	-0.3022	1.3916
NDUFA8	Electron transport chain	0.7147	0.7904	0.0225	0.9372
NDUFA9	Electron transport chain	1.1310	0.0759	0.3458	0.4000
NDUFAB1	Electron transport chain	1.5634	0.5079	0.5011	0.8629
NDUFAF1	Electron transport chain	0.0123	0.7777	-0.6615	0.0708
NDUFAF2	Electron transport chain	0.2722	-0.0647	-0.4285	0.8443
NDUFAF3	Electron transport chain	0.7020	0.9328	0.8888	0.3824
NDUFAF4	Electron transport chain	0.4182	-0.8663	0.6704	0.0005
NDUFB1	Electron transport chain	0.4290	1.3151	0.0134	0.6946
NDUFB10	Electron transport chain	1.1309	0.6862	-0.0754	0.6430
NDUFB11	Electron transport chain	0.7560	0.6771	1.2448	0.4063
NDUFB2	Electron transport chain	0.8220	1.3173	1.0895	0.3394
NDUFB3	Electron transport chain	1.4458	0.8075	0.0914	0.5235
NDUFB4	Electron transport chain	0.7483	0.7183	-0.1304	0.6158
NDUFB5	Electron transport chain	0.6687	0.2553	0.0646	1.5169
NDUFB6	Electron transport chain	0.3554	0.5234	0.0447	-0.3284
NDUFB7	Electron transport chain	0.3652	1.0067	-0.4021	0.5573
NDUFB8	Electron transport chain	0.2083	1.1166	1.1492	-0.1896
NDUFB9	Electron transport chain	1.6684	0.7601	0.3967	0.4261
NDUFC1	Electron transport chain	0.1620	0.8993	-0.1510	0.1713
NDUFS1	Electron transport chain	-0.0158	-0.3209	0.0999	0.4366
NDUFS2	Electron transport chain	2.1522	0.3965	1.4218	1.1009
NDUFS3	Electron transport chain	0.6335	0.7878	0.3594	0.4497
NDUFS4	Electron transport chain	-0.2299	-0.3482	-0.7139	0.4338
NDUFS5	Electron transport chain	1.7067	0.5027	0.6477	0.3512
NDUFS6	Electron transport chain	2.1927	0.6581	-0.6355	0.5339
NDUFS7	Electron transport chain	0.7292	1.0228	0.4324	0.5350
NDUFS8	Electron transport chain	1.3208	1.1242	0.3919	1.1550
NDUFV1	Electron transport chain	0.1079	-0.1415	0.5187	0.4413
NDUFV2	Electron transport chain	0.4292	1.4235	0.3312	0.6441
NDUFV3	Electron transport chain	1.0569	1.0138	1.1188	0.6292
NFE2L2	Replication & Transcription	-0.1354	-0.7280	-0.8065	-0.9639
NFS1	Fe-S cluster biosynthesis	-0.1061	-0.0806	0.9256	0.1746
NFU1	Fe-S cluster biosynthesis	-0.1848	0.1304	-0.5737	1.0305
NME3	Replication & Transcription	0.5050	1.8489	0.5068	0.5115
NME4	Replication & Transcription	1.1860	1.3266	0.7538	1.3799
NME6	Replication & Transcription	0.0737	0.3141	1.0405	0.9979
NRF1	Replication & Transcription	0.0246	-0.5503	0.1766	-0.2810
NSUN2	Replication & Transcription	2.0104	-0.1856	-0.1647	0.1906
