gene,process,HCT116-21-3-c1,HCT116-21-3-c3,HCT116-5-4-p,HCT116-5-4,HCT116-8-3-c3,HCT116-8-3-c4,RPE-21-3-c-1-p,RPE-21-3-c1,RPE-21-3-c2,RPE-5-3-12-3-p,RPE-5-3-12-3,RPE1-5-3-12-3,RPEvsHCT116
ACAA2,Amino Acid Metabolism,-0.180781,-0.41492,-1.5741,-0.758938,-0.280509,-0.0368519,0.525683,0.0574275,0.0518621,-0.477885,-0.991082,-0.991082,-0.622444
ACAA2,Fatty Acid Degradation and Beta-oxidation,-0.180781,-0.41492,-1.5741,-0.758938,-0.280509,-0.0368519,0.525683,0.0574275,0.0518621,-0.477885,-0.991082,-0.991082,-0.622444
ACAD10,Fatty Acid Degradation and Beta-oxidation,,,0.0411028,,,,,,,,0.972721,,0.41964
ACAD11,Fatty Acid Degradation and Beta-oxidation,,,-0.264391,,,,0.589116,,,0.56657,-0.317064,,
ACAD8,Fatty Acid Degradation and Beta-oxidation,,,0.0842896,,,,,,,,0.746606,,0.1477
ACAD9,Electron Transport Chain,-0.0114323,-0.0890148,0.182247,0.0497538,0.131933,-0.022609,-0.198117,-0.243259,-0.330308,0.160282,0.040265,0.040265,-0.102188
ACAD9,Fatty Acid Degradation and Beta-oxidation,-0.0114323,-0.0890148,0.182247,0.0497538,0.131933,-0.022609,-0.198117,-0.243259,-0.330308,0.160282,0.040265,0.040265,-0.102188
ACADL,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACADM,Fatty Acid Degradation and Beta-oxidation,0.123869,-0.227177,-0.0048796,-0.114973,0.0365843,-0.00757115,0.124063,0.0679841,-0.53093,0.18079,-0.0867703,-0.0867703,0.472611
ACADS,Fatty Acid Degradation and Beta-oxidation,0.0637776,0.34854,0.263155,-0.0682306,0.201829,0.331163,,-0.126324,-0.0966487,,-0.0324242,-0.0324242,2.28166
ACADSB,Fatty Acid Degradation and Beta-oxidation,-0.00774805,-0.0400458,0.256562,0.112563,-0.0919054,-0.16708,0.0297353,-0.0928097,-0.289818,0.141573,0.0523061,0.0523061,0.051563
ACADVL,Fatty Acid Degradation and Beta-oxidation,-0.241391,0.00101544,0.630405,0.845428,0.230078,0.252076,0.589246,0.40287,0.817501,-0.0433446,-0.159078,-0.159078,-0.343844
ACAT1,Amino Acid Metabolism,0.0868092,-0.404955,,-0.195566,0.0680539,0.19617,,-0.155571,-0.504434,,,0.419456,
ACAT1,Fatty Acid Degradation and Beta-oxidation,0.0868092,-0.404955,,-0.195566,0.0680539,0.19617,,-0.155571,-0.504434,,,0.419456,
ACAT2,Amino Acid Metabolism,0.0249722,0.304717,,-0.0131254,-0.289166,0.163939,,-0.262933,-0.208831,,,0.108657,
ACAT2,Fatty Acid Degradation and Beta-oxidation,0.0249722,0.304717,,-0.0131254,-0.289166,0.163939,,-0.262933,-0.208831,,,0.108657,
ACN9,Electron Transport Chain,0.14776,-0.0493852,,-0.780609,-0.0854377,-0.343496,,0.0932864,-0.478157,,,-0.779962,
ACO2,Tricarboxylic Acid Cycle,,,0.684499,,,,-0.057277,,,0.563732,0.292745,,0.152886
ACOT13,Fatty Acid Biosynthesis and Elongation,,,,,,,,,,,,,
ACOT9,Fatty Acid Metabolism,,,,,,,,,,,,,
ACOX1,Fatty Acid Degradation and Beta-oxidation,-0.00157267,0.0523982,,-0.317041,0.0411725,0.151279,,0.00778784,-0.1203,,,-0.109874,
ACOX3,Fatty Acid Degradation and Beta-oxidation,-0.0437548,-0.03515,,0.20946,0.0947471,0.0685188,,-0.110961,0.217254,,,-0.168204,
ACP6,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
ACSBG1,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACSBG2,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACSF2,Fatty Acid Biosynthesis and Elongation,0.355197,0.0933822,,-0.234392,-0.0167927,-0.218059,,-0.329379,0.128633,,,-0.0143716,
ACSF2,Fatty Acid Metabolism,0.355197,0.0933822,,-0.234392,-0.0167927,-0.218059,,-0.329379,0.128633,,,-0.0143716,
ACSF3,Fatty Acid Metabolism,0.0433223,0.0574148,,-0.0558871,0.12299,0.103411,,-0.0386677,-0.0514157,,,0.330922,
ACSL1,Fatty Acid Biosynthesis and Elongation,0.229632,-0.188491,1.42492,0.690166,-0.276346,-0.182218,0.203784,-0.227284,-0.065068,-0.049352,-0.469203,-0.469203,-0.664386
ACSL3,Fatty Acid Degradation and Beta-oxidation,-0.205902,-0.0899505,0.380286,0.293744,0.161529,0.0639977,-0.27453,-0.360155,-1.06692,0.0625352,0.310966,0.310966,0.518555
ACSL4,Fatty Acid Degradation and Beta-oxidation,-0.0369043,-0.128004,0.566279,0.515122,-0.382312,-0.337121,-0.377179,-0.284302,-0.0883837,0.0556513,-0.319711,-0.319711,-0.933553
ACSL5,Fatty Acid Biosynthesis and Elongation,-0.251284,-0.944733,-2.49389,-4.37752,0.755846,-0.0221143,,,-2.76466,,3.48678,3.48678,7.00074
ACSL6,Fatty Acid Biosynthesis and Elongation,,,,3.70596,,,,,,,,,
ACSM1,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACSM2A,Fatty Acid Biosynthesis and Elongation,,,,,,,,,,,,,
ACSM2B,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACSM3,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACSM4,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
ACSM5,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,-2.34792,,-7.28222
ACSS1,Pyruvate Metabolism,,,,,,,,,,,,,
ACSS2,Fatty Acid Degradation and Beta-oxidation,,,0.736994,,,,0.263536,,,0.35463,0.0779563,,0.104549
ACSS3,Fatty Acid Metabolism,,,,,,,,-7.12912,,,3.56851,3.56851,
ADCK1,Electron Transport Chain,0.0784538,0.0216546,,0.0835667,0.0474351,-0.0267839,,0.190122,0.17977,,,-0.240533,
ADCK3,Electron Transport Chain,0.405641,-0.0536776,,-0.565685,-0.20153,-0.310047,,0.0661083,-0.599013,,,0.434228,
ADCK4,Electron Transport Chain,0.234936,0.36458,,-0.3419,-0.0776063,0.0374868,,0.319741,0.173753,,,0.560311,
ADCK5,Electron Transport Chain,0.0256925,0.409795,,0.20534,0.0136394,0.5569,,0.247672,1.24621,,,0.0241424,
ADHFE1,Pyruvate Metabolism,,,,,,1.56878,,0.861224,1.39463,,,-0.33693,
ADO,Amino Acid Metabolism,-0.12613,-0.159519,,0.00851009,0.0159679,-0.103371,,0.0341159,-0.216933,,,-0.0973676,
ADSL,Nucleotide Metabolism,0.147691,-0.125318,,-0.0151148,0.0389164,-0.112005,,-0.174966,-0.208295,,,0.123181,
AFG3L2,Mitochondrial Dynamics,0.179135,-0.0214386,-0.378364,-0.325565,-0.00390013,-0.102451,-0.29725,-0.109213,-0.285093,0.297466,-0.240831,-0.240831,0.0452142
AGK,Fatty Acid Metabolism,0.0691512,0.0185204,,-0.0102969,0.0173982,-0.123671,,0.00179137,-0.261606,,,-0.291071,
AGTPBP1,Mitochondrial Dynamics,0.326951,-0.0652794,,0.0594787,0.0990932,0.00704714,,-0.24966,-0.421692,,,-1.02497,
AGXT,Amino Acid Metabolism,,,,,,,,,,,,,
AGXT2,Amino Acid Metabolism,,,,,,,,,,,,,
AGXT2L1,Amino Acid Metabolism,,,,,,,,,,,,,
AGXT2L2,Amino Acid Metabolism,0.21749,-0.119442,,-0.0672108,-0.0283454,-0.0888219,,0.0363525,0.694081,,,-0.319826,
AIFM1,Apoptosis,0.158763,0.0306238,0.157551,0.0760326,-0.0549564,-0.0212652,0.224098,-0.260121,-0.28642,0.415134,0.136511,0.136511,0.206898
AIFM3,Apoptosis,0.772496,1.17629,,-0.873023,0.667736,0.173008,,,,,,,
AK2,Apoptosis,0.310377,0.0582164,,-0.487803,-0.0598007,-0.23325,,-0.238667,-0.390641,,,0.0164182,
AK3,Nucleotide Metabolism,-0.014454,-0.291952,-0.458733,-0.44495,-0.280934,-0.329293,0.394259,-0.213533,-0.269211,0.354741,-0.322815,-0.322815,-0.77464
AK4,Nucleotide Metabolism,0.109794,0.633105,0.0859615,0.357618,-0.198966,0.0505383,0.834159,-1.0597,0.473114,-0.54666,-1.97681,-1.97681,0.467488
AKAP1,Mitochondrial Signaling,0.0858304,0.036926,,-0.361708,-0.107055,-0.138775,,0.107411,-0.296138,,,-0.304652,
AKAP10,Mitochondrial Signaling,-0.0939692,0.0727696,,-0.0404198,-0.0370888,-0.0872267,,0.0887812,-0.127259,,,0.0334418,
AKR1B10,Fructose Metabolism,,,,,,,,1.47783,0.752796,,,1.40852,
AKR1B15,Metabolism of Lipids & Lipoproteins,,,,,,,,,,,,,
ALAD,Heme Biosynthesis,,,1.0633,,,,0.7166,,,0.641559,0.168665,,-1.59658
ALAS1,Heme Biosynthesis,-0.19313,0.060243,0.00935892,0.52484,0.160442,0.275962,,0.0345784,-0.1601,,0.322117,0.322117,1.19724
ALAS2,Heme Biosynthesis,,,,,,,,,,,,,
ALDH18A1,Amino Acid Metabolism,0.132225,-0.167294,,-0.455221,-0.0867524,-0.206401,,-0.272201,-0.0325631,,,-0.648827,
ALDH1B1,Fatty Acid Degradation and Beta-oxidation,0.231149,-0.181474,,-0.839631,0.139753,-0.219179,,-0.722106,0.886074,,,-2.81331,
ALDH1L1,Folate & Pterine Metabolism,,,,,,,,2.23078,3.4816,,,1.71138,
ALDH1L2,Folate & Pterine Metabolism,,,,,,,,,,,,,
ALDH2,Fatty Acid Degradation and Beta-oxidation,0.29989,0.0202945,,-0.165179,-0.0206807,0.151988,,-0.0685964,-0.777381,,,0.273181,
ALDH3A2,Fatty Acid Degradation and Beta-oxidation,0.0143592,-0.0818898,,0.155987,-0.341048,-0.0756232,,-0.112208,-0.625313,,,1.17186,
ALDH4A1,Amino Acid Metabolism,-0.243462,0.0548312,,0.289023,0.0716869,0.167112,,0.156334,0.547331,,,-0.708311,
ALDH5A1,Amino Acid Metabolism,0.0243067,0.199842,,0.618029,-0.0938693,-0.0628116,,0.680693,-0.0157601,,,-0.742119,
ALDH6A1,Amino Acid Metabolism,-0.0258838,-0.173415,,0.384078,-0.0794794,-0.265237,,-0.21341,-0.264856,,,0.224718,
ALDH7A1,Pyruvate Metabolism,0.104459,0.0126877,,1.03629,-0.160675,0.0929974,,-0.285191,-0.476519,,,0.693552,
ALDOA,Glycolysis,,,1.00562,,,,0.219068,,,0.230161,-0.187232,,-1.00327
ALDOB,Glycolysis,,,,,,,,,,,,,
ALDOC,Glycolysis,0.323311,-0.470203,,-0.311349,0.233176,-0.233328,0.296651,,-0.734503,0.310719,,,
ALKBH1,Replication & Transcription,-0.10982,-0.0381626,,-0.197186,-0.127102,-0.0951131,,0.271246,-0.485423,,,0.20735,
ALKBH7,Apoptosis,0.231466,0.138091,,-0.217521,-0.0252392,-0.0210722,,-0.06651,0.432455,,,0.661977,
AMACR,Bile Acid Synthesis,-0.175979,-0.0450381,,1.7436,-0.178264,0.0359606,,0.108907,-0.0128766,,,0.802475,
AMBRA1,Mitochondrial Dynamics,,,,,,,,,,,0.287318,,-0.172246
ANP32A,Apoptosis,,,-0.52772,,,,-0.32262,,,-0.0223323,0.0318107,,0.701529
APAF1,Apoptosis,,,0.389236,,,,-0.146525,,,0.0856804,0.60669,,0.0681245
APEX1,Replication & Transcription,,,-0.611059,,,,-0.280956,,,-0.143655,0.215817,,0.510724
APEX2,Replication & Transcription,,,,,,,,,,,-0.188428,,0.667787
APOA1BP,Mitochondrial Signaling,0.082379,-0.103886,,-0.218282,0.0794387,-0.0255045,,0.0531295,0.0147914,,,0.0570829,
APOOL,Mitochondrial Dynamics,0.249414,-0.000241275,,-0.624844,0.0530275,-0.121676,,0.00199395,-0.0897545,,,-0.0656691,
APOPT1,Apoptosis,-0.0231908,0.0154888,,-0.125604,-0.103545,0.141835,,-0.00366695,0.24301,,-0.235857,-0.235857,-0.469295
ARG1,Urea Cycle,,,,,,,,,,,,,
ARG2,Nitrogen Metabolism,0.383431,-0.0750248,,0.368169,0.28344,0.1515,,0.121754,-0.503166,,0.644222,0.644222,0.279414
ASL,Urea Cycle,,,0.290683,,,,0.719115,,,0.0871969,-0.179397,,0.0986913
ASS1,Amino Acid Metabolism,0.538781,0.195099,-0.630798,-0.673316,0.211836,-0.149558,,,-3.77242,,,,
ATAD1,Protein Stability & Degradation,-0.000189953,-0.0110393,,-0.151015,0.0487679,-0.0248757,,-0.043936,-0.198242,,,-0.341508,
ATAD3A,Replication & Transcription,0.226537,0.230896,-0.16592,-0.206584,0.253844,-0.0122996,,-0.00874044,0.349031,,-0.253758,-0.253758,0.577007
ATAD3B,Replication & Transcription,0.17191,0.283994,-0.00228252,-0.155151,,,,-0.0713017,0.556292,,-0.159181,-0.159181,0.42743
ATIC,Nucleotide Metabolism,0.151605,0.0722919,,-0.455947,0.00956867,0.011044,,-0.092078,-0.214512,,,0.0330106,
ATP5A1,Electron Transport Chain,0.0627818,0.0199876,0.122341,-0.0630164,-0.0516125,0.0474372,0.0798135,-0.209688,-0.406953,0.2446,0.109104,0.109104,0.139638
ATP5B,Electron Transport Chain,,,0.0537738,,,,0.140014,,,0.346004,0.569034,,0.219903
ATP5C1,Electron Transport Chain,0.129001,0.0802977,0.142087,0.1309,-0.150377,-0.108229,0.12389,-0.114012,-0.208505,0.3443,0.0740741,0.0740741,-0.337873
ATP5D,Electron Transport Chain,0.354971,0.149998,0.0637178,-0.326204,0.0674871,-0.241704,0.0300153,-0.0722193,1.53206,0.343513,0.214907,0.214907,0.783938
ATP5E,Electron Transport Chain,,,,,,,,,,,0.0444667,,
ATP5F1,Electron Transport Chain,0.345443,0.104168,0.166073,-0.188341,-0.000684107,-0.124533,0.0992007,-0.208009,-0.485416,0.243404,0.0897538,0.0897538,0.167342
ATP5G1,Electron Transport Chain,0.290233,0.103596,,-0.78033,0.202042,-0.0330522,,0.096703,0.407166,,0.0624617,0.0624617,0.472144
ATP5G2,Electron Transport Chain,-0.00539076,-0.137588,,0.130021,-0.0956581,0.0160196,,-0.335628,-0.00493977,,0.750066,0.750066,-0.745276
ATP5G3,Electron Transport Chain,0.148515,0.0782819,,-0.0956222,-0.135798,-0.0870276,,-0.150096,-0.515937,,0.00861813,0.00861813,0.179463
ATP5H,Electron Transport Chain,,,0.146186,,,,0.0841656,,,0.240452,0.254721,,0.342029
ATP5I,Electron Transport Chain,0.291848,0.293853,0.781611,-0.076068,0.0651747,-0.0090558,0.122209,-0.173117,1.01222,0.273605,0.0608419,0.0608419,-0.408373
ATP5J,Electron Transport Chain,0.782664,0.625104,0.141363,-0.00720686,-0.121971,-0.146472,0.161105,0.356167,-0.00338967,0.366057,0.205664,0.205664,-0.314451
ATP5J2,Electron Transport Chain,0.240565,0.16505,0.592938,-0.164517,0.00581479,-0.0807005,0.019653,-0.110939,0.435632,0.35032,0.112926,0.112926,
ATP5L,Electron Transport Chain,,,,,,,0.387544,,,0.207761,0.651944,,-0.281716
ATP5L2,Electron Transport Chain,,,,,,,,,,,,,
ATP5O,Electron Transport Chain,0.736929,0.966877,0.105987,0.0540573,-0.096897,-0.234016,0.117287,0.436886,0.506672,0.325087,0.109982,0.109982,-0.394027
ATP5S,Electron Transport Chain,0.226186,0.148095,,0.267084,-0.369566,-0.235522,,-0.259608,0.102307,,,-0.0165204,
ATP5SL,Electron Transport Chain,0.0152922,-0.0612703,,0.0970832,-0.0878481,0.0602561,,-0.0888971,0.078134,,,0.317866,
ATP6,Electron Transport Chain,,,,,,,,,,,,,
ATP6V1E1,Electron Transport Chain,-0.197233,0.0277834,,0.677804,-0.0223588,0.276968,,0.0023223,-0.152449,,,-0.122636,
ATP8,Electron Transport Chain,,,,,,,,,,,,,
ATPAF1,Electron Transport Chain,-0.00301648,-0.213186,0.225969,-0.268068,0.0603564,-0.143074,,0.0697165,-0.0535364,,-0.013151,-0.013151,-0.0702617
ATPAF2,Electron Transport Chain,0.179686,-0.0553667,-0.549134,0.0909267,-0.0841297,-0.0870751,-0.0959919,-0.156926,0.0386171,0.36125,0.137551,0.137551,0.323764
ATPIF1,Electron Transport Chain,,,,,,,-0.238298,,,0.498138,0.15073,,-0.037813
AUH,Amino Acid Metabolism,-0.390035,-0.239099,,-0.0705667,-0.24162,-0.152207,,0.300326,-0.489884,,,0.168145,
BAD,Apoptosis,-0.0618787,-0.131678,0.573956,0.0506671,0.217223,0.157316,0.222885,-0.0599746,0.841453,0.275123,0.383529,0.383529,-0.89691
BAK1,Apoptosis,,,,,,,,,,,-0.891882,,-0.603457
BAX,Apoptosis,,,0.003408,,,,0.540317,,,0.659153,0.0692564,,-0.72577
BBC3,Apoptosis,,,,,,,,,,,0.275182,,2.13613
BCAT1,Amino Acid Metabolism,,,,,,,,-0.420689,-0.791256,,,-0.173196,
BCAT2,Amino Acid Metabolism,0.0464544,-0.0334299,,-0.511292,-0.0468893,-0.0975156,,0.0440072,0.683555,,,-0.521548,
BCKDHA,Amino Acid Metabolism,0.187049,0.184812,0.895387,0.406366,0.0829953,-0.209568,0.18025,-0.452664,-0.356324,0.580742,0.139556,0.139556,-0.359157
BCKDHB,Amino Acid Metabolism,0.410619,0.243421,-0.0312088,-0.277873,0.177132,-0.0356062,0.198626,0.0427374,0.0167022,0.453399,-0.143918,-0.143918,-0.978084
BCL2,Apoptosis,,,,,,,,,,,-0.363514,,-0.614138
BCL2L1,Apoptosis,,,0.35321,,,,0.439285,,,0.529926,-0.0705751,,0.353098
BCL2L11,Apoptosis,,,,,,,,,,,1.51121,,0.948392
BCS1L,Electron Transport Chain,0.187609,0.157478,0.186087,-0.11926,0.280971,-0.0349622,-0.353549,-0.0619027,-0.0369,0.186016,0.0904176,0.0904176,0.0321184
BDH1,Fatty Acid Metabolism,0.167954,0.0530287,,-0.438105,-0.0913761,-0.160841,,-0.863013,-1.18307,,,-1.27943,
BECN1,Mitochondrial Dynamics,,,0.0926052,,,,0.236605,,,0.17989,-0.0552096,,-0.385148
BID,Apoptosis,,,-0.25577,,,,0.253756,,,0.081858,0.00523249,,0.017851
BIK,Apoptosis,,,,,,,,,,,,,
BNIP1,Apoptosis,0.15009,0.0857753,,0.428917,0.0437867,-0.101808,,0.0556759,-0.0457397,,,0.631965,
BNIP3,Apoptosis,0.426106,0.119258,,0.0525687,0.298278,-0.0934763,,-1.21903,-0.266151,,-0.773358,-0.773358,-2.80611
BNIP3L,Apoptosis,0.158904,-0.0442803,,0.702785,0.491145,0.407794,,-0.394525,-0.430555,,-0.235378,-0.235378,-1.78574
BOK,Apoptosis,,,,,,,,,,,,,
BOLA3,Fe-S cluster biosynthesis,,,,,,,,,,,0.255196,,0.329073
BPHL,Translation,0.291529,0.0594592,,-0.22283,-0.0303289,0.0687067,,-0.0925638,0.240874,,,-0.273049,
BRP44,Tricarboxylic Acid Cycle,,,0.67092,,,,,,,,-0.0499093,,-0.678903
BRP44L,Tricarboxylic Acid Cycle,,,,,,,,,,,0.254174,,-0.125149
C10orf129,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,,,
C10orf2,Replication & Transcription,0.161359,-0.233641,,-1.08429,-0.0589652,-0.27485,,-0.363325,-0.243152,,-0.557971,-0.557971,1.31619
C12orf65,Translation,,,,,,,,,,,0.312257,,
C15orf61,Amino Acid Metabolism,0.0912891,-0.101344,,-0.729236,0.0213103,-0.274907,,0.112037,0.0648063,,,-0.154818,
C19orf70,Mitochondrial Dynamics,0.231321,0.18816,,0.0187837,0.0871482,0.146337,,-0.0511521,1.27011,,,0.0241743,
C1orf31,Electron Transport Chain,,,-1.28195,,,,-0.210373,,,0.00536224,0.268385,,0.0512194
C20orf7,Electron Transport Chain,,,,,,,,,,,-0.0126504,,0.489749
C22orf32,Calcium Signaling & Transport,0.0499807,-0.216225,,-0.191796,-0.381032,-0.194347,,-0.0242614,0.0332928,,0.266283,0.266283,-0.370786
C2orf47,Electron Transport Chain,-0.102107,-0.0795634,,-0.0314159,0.0290721,0.0671156,,-0.144421,-0.658899,,,0.134792,
C2orf56,Electron Transport Chain,,,-0.016241,,,,,,,,0.0295541,,-0.0684941
C5orf63,Fatty Acid Metabolism,0.39882,0.145179,,1.26129,0.303798,0.356608,,,,,,,
C6orf57,Electron Transport Chain,0.568641,0.322912,,-0.526421,0.385823,0.141845,,-0.0348605,0.568919,,,-0.474546,
C7orf44,Electron Transport Chain,,,,,,,,,,,0.339531,,-0.161919
C7orf55,Electron Transport Chain,-0.0669928,-0.0223182,,-0.355066,-0.153382,0.0420259,,0.153663,0.675298,,,0.195302,
C8orf38,Electron Transport Chain,,,0.0400288,,,,,,,,-0.056252,,0.388314
CA5A,Nitrogen Metabolism,,,,,,,,,,,,,
CARKD,Metabolism of Vitamins & Co-Factors,-0.029341,0.103326,,-0.311047,0.0511192,0.0827447,,0.0321659,0.388489,,,-0.0948144,
CARS2,Translation,,,0.262164,,,,-0.407842,,,-0.131326,-0.234177,,-0.928669
CASP2,Apoptosis,-0.333948,-0.0330751,,0.0703157,0.0087773,0.0231526,,0.0574832,-0.304017,,,-0.00522835,
CASP3,Apoptosis,,,-0.0993554,,,,0.181149,,,-0.579952,-0.47749,,-1.43949
CASP7,Apoptosis,,,0.358955,,,,-0.286172,,,-0.289126,0.0796136,,0.658366
CASP8,Apoptosis,0.488704,0.368006,,0.153559,0.145082,0.0790698,,0.307325,-0.747046,,,0.131781,
CASP9,Apoptosis,,,,,,,,,,,0.340021,,0.278183
CAT,ROS Defense,-0.491038,0.0254806,,0.0667678,0.0480981,0.267566,,-0.0548371,-0.28779,,,0.625766,
CBR4,Fatty Acid Biosynthesis and Elongation,0.0310863,-0.279851,,-1.22115,-0.150503,-0.139935,,0.0542811,-0.548704,,,-0.106371,
CCBL2,Amino Acid Metabolism,0.146787,-0.0370496,,-0.324434,-0.0858509,-0.358879,,-0.217269,-0.412271,,,0.0540253,
CCDC109B,Calcium Signaling & Transport,,,,,,,,,,,0.279076,,-0.929747
CCDC56,Electron Transport Chain,,,0.449677,,,,,,,,0.105863,,-0.598803
CCDC58,Translation,0.355639,0.210946,,-0.448147,0.135348,-0.252147,,-0.256443,-0.13382,,,0.18505,
CCDC90A,Calcium Signaling & Transport,,,,,,,,,,,-0.0304776,,0.450096
CD36,Fatty Acid Degradation and Beta-oxidation,,,,,,,,,,,0.899827,,
CDK1,Apoptosis,,,,,,,,,,,-0.0820894,,0.882961
CDK5RAP1,Replication & Transcription,,,,,,,,,,,0.219061,,0.904711
CDKAL1,Replication & Transcription,,,0.589264,,,,-0.0253123,,,0.00636186,-0.126378,,0.353997
CDS1,Cardiolipin Biosynthesis,,,,,,,,,,,,,3.87095
CDS2,Metabolism of Lipids & Lipoproteins,-0.00560894,-0.0824596,,0.109505,-0.0430091,0.126665,,0.0763459,-0.0933721,,,-0.0726046,
CHAT,Fatty Acid Metabolism,,,,,,,,,,,,,
CHCHD1,Translation,0.266997,0.128061,,-0.692875,-0.149921,-0.16306,,0.0103558,-0.351813,,,0.21165,
CHCHD10,Import & Sorting,0.563736,0.269898,,-0.324644,0.260609,-0.202672,,-0.630325,0.827267,,,0.687632,
CHCHD2,Import & Sorting,0.188623,0.00242548,,-0.496208,0.0398826,-0.0494748,,-0.236073,-0.517723,,,0.0512886,
CHCHD3,Mitochondrial Dynamics,0.10611,0.146515,,0.0168249,0.0625029,-0.0116486,,-0.22265,-0.554436,,,-0.0436332,
CHCHD4,Import & Sorting,0.266505,0.177489,,-0.29964,-0.116223,-0.172012,0.0814892,-0.080237,-0.308161,0.5917,0.00783289,0.00783289,0.600029
CHCHD6,Mitochondrial Dynamics,-0.0381084,-0.191948,,-0.138739,-0.0456076,-0.0900348,,0.205646,0.490787,,,-0.167447,
CHCHD7,Import & Sorting,0.0678447,0.066894,,-0.43626,0.158594,-0.0372747,,-0.0118053,-0.341038,,,0.064067,
CHCHD8,Electron Transport Chain,,,,,,,,,,,0.532283,,-0.0706818
CIAO1,Fe-S cluster biosynthesis,,,-0.343714,,,,0.0589838,,,-0.00158604,0.0698631,,0.0700727
CIAPIN1,Fe-S cluster biosynthesis,,,-0.337211,,,,0.103813,,,0.109374,-0.295162,,0.204496
CISD1,Electron Transport Chain,0.137107,-0.0791014,,-0.526501,-0.286966,-0.392414,,0.125832,-0.784509,,,0.380902,
CISD2,Electron Transport Chain,-0.048414,-0.0884947,,0.0263611,-0.0132758,-0.162808,,-0.149668,-0.927897,,,0.228061,
CISD3,Electron Transport Chain,0.168823,0.0300379,,-0.472379,0.131221,-0.00677653,,-0.0232202,0.0455849,,,0.24751,
CLIC4,Apoptosis,-0.194147,-0.0259288,,0.732642,0.0362052,0.167452,,0.0805405,0.23581,,,-0.47326,
CLPP,Protein Stability & Degradation,0.0534412,0.0637385,-1.07478,-0.665334,0.0848371,0.0318891,0.0731505,-0.0244044,0.11088,0.226426,0.250003,0.250003,0.0581639
CLPX,Heme Biosynthesis,0.187364,-0.0275826,-0.265119,-0.281887,-0.10012,-0.232444,-0.531369,-0.011477,-0.403313,-0.0833836,-0.0445365,-0.0445365,0.261322
CMC1,Electron Transport Chain,0.00486985,0.0329982,,-0.210772,-0.175852,-0.182754,,-0.0669348,-0.620895,,,0.475907,
CMPK2,Replication & Transcription,,,,,,,,,,,,,
COA3,Electron Transport Chain,,,,,,,,,,,,,
COA5,Electron Transport Chain,,,,,,,,,,,0.156315,,0.0382366
COA6,Electron Transport Chain,,,,,,,,,,,,,
